Argyll V2.1.1
libutempter 1.2.0
libuv 1.37.0
libva 2.8.0
libvdpau 1.1.1
libvirt 6.4.0
libvirt-glib 3.0.0
libvirt-python 6.4.0
libvisio 0.1.7
libvncserver 0.9.12
libvorbis 1.3.6
libvpx 1.8.2
libwebp 1.0.3
libwmf 0.2.12
libwnck 2.31.0
libwpd 0.10.3
libwpe 1.6.0
libwpg 0.3.3
libwps 0.4.11
libwww-perl 6.46
libx86 1.1
libxcb 1.14
libxdg-basedir 1.2.0
libxfce4ui 4.14.1
libxfce4util 4.14.0
libxkbcommon 0.10.0
libxkbfile 1.1.0
libxkbui 1.0.2
libxml2 2.9.10
libxshmfence 1.3
libxslt 1.1.34
libzip 1.6.1
links 2.20.2
lld 10.0.0
llvm 10.0.0
lm_sensors 3.6.0
lmdb 0.9.24
lrzsz 0.12.20
lshw B.02.18
lua 5.3.5
luajit 2.0.5
luatex 0.79.1
luit 1.1.1
lxc 3.2.1
lxterminal 0.3.2
lynx 2.8.9rel.1
lz4 1.9.2
lzma-sdk 922
mailman 2.1.33
mailutils 3.9
makedepend 1.0.6
makeself 2.4.0
mako 1.4.1
mariadb 10.4.12
mc 4.8.24
mcrypt 2.6.8
mdds 1.6.0
mesa-demos 8.3.0
mesa-lib 20.1.3
mhash 0.9.9.9
mime-types 9
minizip 1.2.11
mkfontdir 1.0.7
mkfontscale 1.2.1
mozjs 68.4.2
mozjs60 60.8.0
mpeg2dec 0.5.1
mpg123 1.26.1
mtdev 1.1.5
mtools 4.0.24
mutt 1.14.5
mypaint-brushes 2.0.2
mypaint-brushes-1 3.1
nautilus 3.36.3
ncdu 1.15.1
ndctl 68
neon 0.31.2
net-tools 1.60
netcat 0.7.1
netpbm 10.73.31
nettle 3.6
nghttp2 1.41.0
nmap 7.80
node 14.4.0
noto-fonts 2017-09-19
npth 1.6
nspr 4.26
nss-mdns 0.14.1
ntp 4.2.8p14
nudoku 2.0.0
numlockx 1.2
obexftp 0.24.2-Source
ocaml 4.09.0
odt2txt 0.5
oniguruma 6.9.5_rev1
openMotif 2.5.0
openal 1.20.1
openexr 2.5.2
openh264 1.8.0
openjade 1.3.2
openjpeg 1.5.2
openjpeg-2 3.1
openldap 2.4.50
openmp 10.0.0
openmpi 4.0.4
openobex 1.7.2-Source
opensp 1.5.2
openttd 1.10.2
opus 1.3.1
orc 0.4.31
osinfo-db 20200515
osinfo-db-tools 1.7.0
p11-kit 0.23.20
pango 1.44.7
pangomm 2.42.1
pavucontrol 3.0
pax 3.4
pcre2 10.35
php 7.4.7
pinentry 1.1.0
pixman 0.40.0
pm-utils 1.4.1
pngquant 2.12.6
podofo 0.9.6
polkit 0.116
poppler 0.88.0
poppler-data 0.4.9
portaudio v190600_20161030
powerline-fonts 2.8.1
psutils 2.03
pth 2.0.7
publicsuffix-list 20180512.65ddeb3
pulseaudio 13.0
python-asn1crypto 1.3.0
python-babel 2.6.0
python-certifi 2019.11.28
python-cffi 1.14.0
python-chardet 3.0.4
python-cryptography 2.8
python-dbus 1.2.16
python-dbus-common 1.2.16
python-distutils-extra 2.38
python-dnspython 1.16.0
python-idna 2.7
python-jinja 2.11.2
python-lxml 4.5.1
python-mako 1.1.3
python-markupsafe 1.1.1
python-nose 1.3.7
python-numpy 1.19.0
python-pathlib2 2.3.3
python-pip 20.1.1
python-ply 3.11
python-pyasn1 0.4.8
python-pycairo 1.19.1
python-pycparser 2.20
python-pycrypto 2.6.1
